Fold,Strategy,xgb__subsample,xgb__n_estimators,xgb__min_child_weight,xgb__max_depth,xgb__learning_rate
1,None,0.8,100,3,7,0.1
1,ClassWeight,0.6,400,5,5,0.05
1,B-SMOTE,0.6,100,3,3,0.03
1,SMOTE,0.8,400,5,3,0.03
1,ADASYN,0.6,100,3,3,0.03
1,RUS,0.6,100,3,3,0.03
2,None,0.6,100,3,7,0.05
2,ClassWeight,0.6,200,1,7,0.1
2,B-SMOTE,0.6,100,3,7,0.05
2,SMOTE,0.6,100,3,7,0.05
2,ADASYN,0.6,100,3,7,0.05
2,RUS,0.6,100,1,5,0.05
3,None,0.8,100,1,3,0.05
3,ClassWeight,0.6,100,5,5,0.05
3,B-SMOTE,0.8,100,1,3,0.05
3,SMOTE,1.0,200,1,3,0.03
3,ADASYN,0.6,100,1,5,0.05
3,RUS,1.0,200,1,3,0.03
4,None,0.6,100,1,5,0.05
4,ClassWeight,0.6,100,1,5,0.05
4,B-SMOTE,0.6,100,5,3,0.1
4,SMOTE,0.6,100,5,5,0.05
4,ADASYN,0.6,100,5,3,0.1
4,RUS,0.8,100,1,3,0.05
5,None,0.8,100,1,3,0.05
5,ClassWeight,0.6,100,5,5,0.05
5,B-SMOTE,0.6,100,5,5,0.05
5,SMOTE,0.6,100,5,3,0.1
5,ADASYN,0.6,100,5,5,0.05
5,RUS,0.6,100,5,5,0.05
6,None,0.6,100,1,5,0.05
6,ClassWeight,0.6,400,5,5,0.05
6,B-SMOTE,0.6,100,5,3,0.1
6,SMOTE,0.6,100,5,3,0.1
6,ADASYN,0.6,200,1,7,0.1
6,RUS,0.6,100,3,7,0.05
7,None,0.6,100,3,7,0.05
7,ClassWeight,0.8,400,3,5,0.05
7,B-SMOTE,0.6,100,3,7,0.05
7,SMOTE,0.6,100,5,5,0.05
7,ADASYN,0.6,100,1,5,0.05
7,RUS,0.6,100,5,5,0.05
8,None,0.6,100,5,5,0.05
8,ClassWeight,0.6,100,5,5,0.05
8,B-SMOTE,0.6,200,3,3,0.05
8,SMOTE,0.6,200,3,3,0.05
8,ADASYN,0.6,100,1,5,0.05
8,RUS,1.0,200,1,3,0.03
9,None,0.6,100,5,3,0.1
9,ClassWeight,0.8,400,5,3,0.03
9,B-SMOTE,0.8,400,5,3,0.03
9,SMOTE,0.6,200,3,3,0.05
9,ADASYN,0.6,100,5,3,0.1
9,RUS,0.6,100,5,5,0.05
10,None,0.6,100,1,5,0.05
10,ClassWeight,1.0,100,1,5,0.2
10,B-SMOTE,1.0,400,5,5,0.2
10,SMOTE,0.8,100,5,5,0.03
10,ADASYN,0.8,400,1,5,0.1
10,RUS,0.6,100,3,3,0.03
11,None,0.6,100,3,7,0.05
11,ClassWeight,0.8,100,3,7,0.1
11,B-SMOTE,0.6,100,5,5,0.05
11,SMOTE,0.6,100,5,5,0.05
11,ADASYN,0.6,100,3,7,0.05
11,RUS,0.8,100,5,5,0.03
12,None,0.6,200,3,3,0.05
12,ClassWeight,0.6,100,3,7,0.05
12,B-SMOTE,1.0,200,1,3,0.03
12,SMOTE,0.8,100,1,3,0.05
12,ADASYN,0.6,100,5,3,0.1
12,RUS,0.8,100,5,5,0.03
13,None,0.8,100,1,3,0.05
13,ClassWeight,0.8,400,5,3,0.03
13,B-SMOTE,0.8,400,5,3,0.03
13,SMOTE,0.6,100,5,3,0.1
13,ADASYN,1.0,100,1,3,0.1
13,RUS,0.8,100,5,5,0.03
14,None,0.8,100,5,5,0.03
14,ClassWeight,0.8,100,5,5,0.03
14,B-SMOTE,0.6,100,5,3,0.1
14,SMOTE,0.8,400,5,3,0.03
14,ADASYN,0.8,400,5,3,0.03
14,RUS,0.6,100,5,5,0.05
15,None,0.6,100,1,5,0.05
15,ClassWeight,0.6,100,1,5,0.05
15,B-SMOTE,1.0,100,1,3,0.1
15,SMOTE,0.6,100,5,5,0.05
15,ADASYN,1.0,200,1,3,0.03
15,RUS,1.0,100,1,7,0.05
