composition,n_entries
SiO2,61
CdI2,26
LiMnPO4,19
LiCoPO4,16
LiFeSiO4,15
Hf2N2O,15
Al(HO)3,14
LiFeF4,12
LiSb(PO3)4,12
AlPO4,12
ZnS,12
Li2MnF4,11
LiNiPO4,11
LiMnF3,10
S,9
VOF3,9
VF5,9
LiMnP2O7,8
Zr2N2O,8
FePO4,8
LaAlO3,7
LiMnF4,7
Li2CuPO4,7
Sr2CaI6,7
Li2Cr2O7,7
Li2VF4,7
Li2MnSiO4,7
NaMnPCO7,7
Ca2SnS4,7
LiBi(PO3)4,7
Ca2SiO4,6
CrPO4,6
H2O,6
BN,6
Li2FeBO4,6
LiSbP2O7,6
Sn2P2O7,6
LiFeP2O7,6
PbI2,6
Li2FePCO7,6
Ba2SrI6,6
BaYF5,6
Na2LiMnPCO7,6
Mg2SiO4,6
Na3Li3Mn2P2(CO7)2,6
Li3V3P8O29,6
BaCaI4,6
LiMn(PO3)3,6
CaCO3,6
Ca(H8O5)2,6
V2O5,6
LiSn(PO3)3,6
Li3MnPCO7,6
LiSnPO4,6
Li2MnP2O7,6
N2,5
Ba2YBr7,5
Li4CO4,5
LiBiB2O5,5
Li2MnF6,5
NaPO3,5
Li3Cr(PO4)2,5
AgI,5
VO2F,5
Li2SnP2O7,5
LiVF4,5
Li2V(CO3)2,5
VPO5,5
H4N2O3,5
Li4AlCr3O8,5
MnP2O7,5
LiCu(PO3)2,5
MgSiO3,5
Dy2TiO5,5
Sr(H8O5)2,5
V3OF11,5
LiSiBiO4,5
LiV(PO4)2,5
LiVPO4,5
CaSnS3,5
WO3,5
BiOF,5
Na5LiMn2P2(CO7)2,4
LiMnF5,4
PbO,4
Li2AgF3,4
Ag2S,4
BaSrI4,4
Mn6OF11,4
Li2MnOF3,4
BaCO3,4
LiAgF2,4
LiCuCO3,4
H9BrO4,4
Ti3(BiO3)4,4
SrCaI4,4
Mg2TiO4,4
MgAl2O4,4
Na4CO4,4
H7NO6,4
Ba2YI7,4
Y2O3,4
LaF3,4
LiCrPO4,4
MgH2,4
Li3Sn2(PO4)3,4
Si2H2O3,4
Ti2N2O,4
Ba(HO)2,4
BaLaCl5,4
Li3Fe(PO4)2,4
LiCrP2O7,4
Li2CoP2O7,4
CuBr,4
LiMnOF2,4
WOF4,4
Li3Bi2(PO4)3,4
Rb4CO4,4
BaLaI5,4
Na3CuO2,4
V6O5F19,4
Li2CoSiO4,4
ZrO2,4
BaSr2I6,4
NaLi2MnPCO7,4
VF4,4
KNO3,4
Li3Cu3(PO4)2,4
Nb2O5,4
Li5SbS4,4
Li2Mn3F8,4
SeO2,4
Li3BiS3,4
LiVF3,4
TiO2,4
LiP4WO12,4
Li3CuS2,4
ReH3O5,3
Ta2CrNO5,3
BaYI5,3
NaMnO2,3
Bi2O3,3
LiMoP2O7,3
Li3Bi(BO3)2,3
Li2FeF5,3
TlCl,3
K4CO4,3
LiMn2(PO4)3,3
K2HfF6,3
Ho2(SeO3)3,3
Li5BiS4,3
La2WO6,3
Li5Cu(PO4)2,3
BaCeO3,3
CsPbCl3,3
YNb2NO5,3
Li3BN2,3
Li5SbS,3
LiCr(SiO3)2,3
C3N4,3
Na5Bi2As(CO4)4,3
BaNb2O6,3
Cd(HO)2,3
Sr2CdWO6,3
Sr(IO3)2,3
P(HO)3,3
Ba2CaI6,3
Rb3InO3,3
Ti3H2O7,3
BaCa(CO3)2,3
Bi(BO2)3,3
RbHO,3
LiCuS,3
LiV(PO3)3,3
SrLaCl5,3
Sb4O5F2,3
LiTi2(PO4)3,3
SrSm2O4,3
HfPbO3,3
KNO2,3
H2SO4,3
Li2MnPO4F,3
P2O5,3
Ba2In2O5,3
Sc2O3,3
LiFe(SiO3)2,3
KAl11O17,3
Ca4Nb2O9,3
K3Co(CN)6,3
LaMgI5,3
NaLi5Mn2P2(CO7)2,3
BeF2,3
SrCa2I6,3
Mo(HO2)2,3
NbOF3,3
Al2(WO4)3,3
Ga3NO3,3
Ga2WO6,3
ZnH20S2(NO7)2,3
ZnCrO4,3
Er3TaO7,3
Mg3(AsO4)2,3
CaPbI4,3
LiSb(TeO4)3,3
Ca3Ta2O8,3
Cr(PO3)3,3
Mn(IO3)2,3
Y2TeO6,3
LiZnPO4,3
CaGeO3,3
Tm2S3,3
NaH9O5,3
Li3Mn(BO3)2,3
LiBiP2O7,3
CdSeO4,3
Li3Sb(PO4)2,3
YHO2,3
AsS,3
LiMnPCO7,3
PC2S2N3,3
Na2Si2O5,3
Na3SnPCO7,3
MoH4O5,3
Ho2O3,3
LaSc3(BO3)4,3
Li2VP2O7,3
Li2Mn2F7,3
KNbO3,3
LiSn4(PO4)3,3
Sn(PO3)4,3
PNO,3
Ba2TiO4,3
Li3Co3OF7,3
AlF3,3
Li6Br3N,3
LiMn2F5,3
SnO2,3
Li2MnO2F,3
RbAlF4,3
LiCoSiO4,3
Li3VPCO7,3
H3ClO5,3
NbO2F,3
LiVSiO4,3
Sn(PO3)2,3
Na2TiSiO5,3
LiCrPO4F,3
H2,3
LiVF6,3
Dy2Zr2O7,3
Li3Bi(PO4)2,3
Ge2N2O,3
CaSO4,3
KMnF3,3
LiNbO3,3
Ta2MnO6,3
Tl2SeO4,3
Na3Zr2Si2PO12,3
CaSnO3,3
Li2FeSiO4,3
Li5La3Nb2O12,3
Li3CrPCO7,3
LiMnPH2O5,3
Li2Mn(SiO3)2,3
NaTaO3,3
C,3
Li2VCr(P2O7)2,3
Tm2O3,3
CaSiO3,3
KAlSiO4,3
NaSbO3,3
KMnO4,2
LaHoO3,2
Na2FeO4,2
Li2Mn2OF6,2
Tb3NbO7,2
ZrSeO,2
Li2MnH4(SO5)2,2
Li2Fe(CO3)2,2
Sm3NbO7,2
GaS,2
Li2UO4,2
LiIn(MoO4)2,2
Y2W2O9,2
CaF2,2
RbScO2,2
CrPbO4,2
Ca4Al6WO16,2
PbWO4,2
Li4Mn(OF)2,2
P4Se3,2
Sr(H2N)2,2
Tl2O,2
LiVF5,2
CNCl,2
Li2Ti3O7,2
SrBPO5,2
P2W2O11,2
Rb4SnO3,2
MnPO4,2
SbS(BrF2)3,2
Li4Bi2O5,2
NaBi5O8,2
Li2MnPO5,2
Li2MgBr4,2
ScBiO3,2
Li3Fe(BO3)2,2
P4S3I2,2
In2WO6,2
K2FeH4(SO5)2,2
