,permutation_heldout,MDI
MagpieData mean Electronegativity,0.20412743141992706,0.02396461
MagpieData range Electronegativity,0.1689705440074532,0.024810204
MagpieData maximum Electronegativity,0.08556903421983308,0.39525935
MagpieData minimum MeltingT,0.06418439678976769,0.096035436
MagpieData mean CovalentRadius,0.06035340314249935,0.019654782
MagpieData mean NdValence,0.05730029541988232,0.026654968
MagpieData range CovalentRadius,0.04912235701391178,0.039745443
MagpieData avg_dev Electronegativity,0.04514618681491841,0.026017068
MagpieData mean MeltingT,0.03736285170150695,0.02204956
MagpieData mode Electronegativity,0.030248428280908367,0.05334542
MagpieData mean Row,0.028155263116242658,0.015433869
MagpieData mode Number,0.024876281030073666,0.017329343
MagpieData mean AtomicWeight,0.023492186876372435,0.037143685
MagpieData mean SpaceGroupNumber,0.016136969796818244,0.021304725
MagpieData minimum Number,0.013151122576719677,0.010157768
MagpieData mean Number,0.005690765425861421,0.025739325
MagpieData mode MeltingT,0.003422791345030196,0.0118144015
MagpieData maximum NpValence,0.0034177139875351203,0.029999526
MagpieData mode CovalentRadius,0.001710647955400413,0.009491254
MagpieData avg_dev Number,0.0,0.0
MagpieData maximum Number,0.0,0.0
MagpieData range Number,0.0,0.0
MagpieData range MeltingT,0.0,0.0
MagpieData maximum MeltingT,0.0,0.0
MagpieData minimum Column,0.0,0.0
MagpieData avg_dev MeltingT,0.0,0.0
MagpieData range Column,0.0,0.0
MagpieData mean Column,0.0,0.0
MagpieData avg_dev MendeleevNumber,0.0,0.0
MagpieData minimum MendeleevNumber,0.0,0.0
MagpieData maximum AtomicWeight,0.0,0.0
MagpieData minimum AtomicWeight,0.0,0.0
MagpieData mode MendeleevNumber,0.0,0.0
MagpieData range AtomicWeight,0.0,0.0
MagpieData mode AtomicWeight,0.0,0.007192238
MagpieData avg_dev AtomicWeight,0.0,0.0
MagpieData range MendeleevNumber,0.0,0.0
MagpieData maximum MendeleevNumber,0.0,0.0
MagpieData mode NsValence,0.0,0.0
MagpieData maximum CovalentRadius,0.0,0.0
MagpieData mode Row,0.0,0.0
MagpieData avg_dev Row,0.0,0.0
MagpieData range Row,0.0,0.0
MagpieData maximum Row,0.0,0.0
MagpieData minimum Row,0.0,0.0
MagpieData mode Column,0.0,0.0
MagpieData maximum Column,0.0,0.0
MagpieData avg_dev Column,0.0,0.0
MagpieData minimum Electronegativity,0.0,0.0
MagpieData avg_dev CovalentRadius,0.0,0.0
MagpieData range NsValence,0.0,0.0
MagpieData mean NsValence,0.0,0.0
MagpieData minimum NsValence,0.0,0.0
MagpieData maximum NsValence,0.0,0.0
MagpieData maximum NdValence,0.0,0.0
MagpieData avg_dev NsValence,0.0,0.0
MagpieData range NpValence,0.0,0.0
MagpieData minimum NpValence,0.0,0.0
MagpieData avg_dev NpValence,0.0,0.0
MagpieData mode NpValence,0.0,0.0
MagpieData minimum NdValence,0.0,0.0015315171
MagpieData mean NpValence,0.0,0.0
MagpieData range NfValence,0.0,0.0
