Split,Strategy,F2,AvgPrecision,ROC-AUC,P@100,AP_shared_comp,AP_unique_comp
grouped,None,0.280 +/- 0.037,0.427 +/- 0.041,0.877 +/- 0.021,0.411 +/- 0.043,0.313 +/- 0.111,0.473 +/- 0.046
grouped,ClassWeight,0.484 +/- 0.042,0.409 +/- 0.047,0.875 +/- 0.019,0.399 +/- 0.044,0.282 +/- 0.107,0.457 +/- 0.052
grouped,B-SMOTE,0.451 +/- 0.028,0.373 +/- 0.039,0.856 +/- 0.021,0.379 +/- 0.049,0.254 +/- 0.101,0.416 +/- 0.045
grouped,SMOTE,0.445 +/- 0.029,0.374 +/- 0.044,0.860 +/- 0.018,0.378 +/- 0.051,0.248 +/- 0.090,0.420 +/- 0.049
grouped,ADASYN,0.439 +/- 0.026,0.366 +/- 0.042,0.860 +/- 0.018,0.375 +/- 0.055,0.241 +/- 0.102,0.412 +/- 0.046
grouped,RUS,0.425 +/- 0.024,0.359 +/- 0.031,0.862 +/- 0.015,0.381 +/- 0.045,0.277 +/- 0.087,0.393 +/- 0.039
random,None,0.288 +/- 0.051,0.446 +/- 0.054,0.889 +/- 0.023,0.439 +/- 0.044,0.412 +/- 0.124,0.469 +/- 0.062
random,ClassWeight,0.510 +/- 0.041,0.431 +/- 0.053,0.887 +/- 0.021,0.431 +/- 0.050,0.389 +/- 0.099,0.451 +/- 0.056
random,B-SMOTE,0.463 +/- 0.037,0.381 +/- 0.059,0.862 +/- 0.026,0.383 +/- 0.053,0.294 +/- 0.089,0.416 +/- 0.064
random,SMOTE,0.457 +/- 0.030,0.373 +/- 0.056,0.864 +/- 0.023,0.377 +/- 0.049,0.287 +/- 0.104,0.408 +/- 0.063
random,ADASYN,0.451 +/- 0.028,0.370 +/- 0.051,0.865 +/- 0.023,0.372 +/- 0.052,0.283 +/- 0.104,0.407 +/- 0.054
random,RUS,0.444 +/- 0.032,0.375 +/- 0.049,0.869 +/- 0.025,0.391 +/- 0.053,0.315 +/- 0.087,0.404 +/- 0.055
