Split,Strategy,Fold,F2,AvgPrecision,ROC-AUC,P@100,Precision,Recall,AP_shared_comp,AP_unique_comp
grouped,None,1,0.2699228791773779,0.40833191552901626,0.8918133376392701,0.38,0.5675675675675675,0.23863636363636365,0.18428668553335148,0.501713758140687
grouped,None,2,0.21865889212827988,0.45533326687126696,0.8893484356552539,0.44,0.6521739130434783,0.1875,0.5119822195148875,0.45323353658886456
grouped,None,3,0.29085872576177285,0.4253887583624422,0.8872529274170182,0.41,0.5675675675675675,0.25925925925925924,0.2767254712530536,0.4726332834364849
grouped,None,4,0.22332506203473945,0.39119359504521717,0.8889052403003428,0.37,0.5806451612903226,0.1935483870967742,0.27086167158963936,0.44601418750549876
grouped,None,5,0.35545023696682465,0.4724788574975898,0.8506959166743477,0.5,0.7142857142857143,0.3157894736842105,0.40776382315745124,0.5028581021407904
grouped,None,6,0.28,0.47681646467702105,0.887518601566235,0.45,0.7777777777777778,0.2413793103448276,0.1312715693763476,0.5728275127089134
grouped,None,7,0.2719033232628399,0.386323235890691,0.8955063541888886,0.38,0.6666666666666666,0.23684210526315788,0.25990169531814034,0.45395039972342033
grouped,None,8,0.3253012048192771,0.44678683226963134,0.8673763248560082,0.43,0.6923076923076923,0.2872340425531915,0.4166359169012369,0.4708189119976055
grouped,None,9,0.2661064425770308,0.40368437311336486,0.8900434449989121,0.35,0.5757575757575758,0.2345679012345679,0.3731425625353595,0.4292268091445252
grouped,None,10,0.2558139534883721,0.3722105920049494,0.8188749065837371,0.4,0.6470588235294118,0.2222222222222222,0.28742524856402024,0.391044961030418
grouped,None,11,0.3358208955223881,0.4867874064046201,0.8979767213462866,0.48,0.7105263157894737,0.2967032967032967,0.41311739874766407,0.521480982181132
grouped,None,12,0.3074866310160428,0.45746353477160656,0.8794773367747373,0.42,0.7666666666666667,0.26744186046511625,0.2003948884007175,0.5264207660926642
grouped,None,13,0.27710843373493976,0.3661184681386812,0.8676750188869303,0.36,0.6571428571428571,0.24210526315789474,0.1797911664322029,0.43725682722256315
grouped,None,14,0.2702702702702703,0.3810676814533012,0.8584721989616481,0.37,0.5882352941176471,0.23809523809523808,0.3210842273318075,0.4186032506640703
grouped,None,15,0.2564102564102564,0.4697309789680693,0.8859360249401743,0.43,0.6666666666666666,0.2222222222222222,0.4669457474651971,0.4954651193992654
grouped,ClassWeight,1,0.4675118858954041,0.39994749984162375,0.8863770924161688,0.42,0.2114695340501792,0.6704545454545454,0.1299730882864188,0.4945233021084859
grouped,ClassWeight,2,0.5443548387096774,0.4253928605237158,0.8886400531286895,0.38,0.3068181818181818,0.675,0.43241237884811656,0.4283608277336768
grouped,ClassWeight,3,0.45794392523364486,0.365078942492421,0.8707873108750804,0.37,0.23222748815165878,0.6049382716049383,0.21710749424174258,0.4068499737196853
grouped,ClassWeight,4,0.4723127035830619,0.39176206272665076,0.895465426575622,0.35,0.2396694214876033,0.6236559139784946,0.26668204553371344,0.4572760298587792
grouped,ClassWeight,5,0.47583081570996977,0.4646043330978194,0.8570375149783389,0.49,0.22340425531914893,0.6631578947368421,0.478082673682737,0.48067560492988165
grouped,ClassWeight,6,0.5172413793103449,0.48255806304671683,0.8892929048071161,0.45,0.25862068965517243,0.6896551724137931,0.17917157307920675,0.5721092909641693
grouped,ClassWeight,7,0.45293072824156305,0.374975505505687,0.8881578947368421,0.34,0.1969111969111969,0.6710526315789473,0.22622709549345527,0.4444490257797639
grouped,ClassWeight,8,0.541871921182266,0.45033095846877264,0.8606567077821319,0.46,0.2832618025751073,0.7021276595744681,0.4146290107789679,0.4675290735217416
grouped,ClassWeight,9,0.4107142857142857,0.3630289949804954,0.876006288646046,0.37,0.19491525423728814,0.5679012345679012,0.24901953254874012,0.40234251789798264
grouped,ClassWeight,10,0.4481132075471698,0.36671247574281574,0.8185675369446253,0.38,0.2375,0.5757575757575758,0.2815166619606369,0.39035519595881873
grouped,ClassWeight,11,0.5443886097152428,0.4588187363733002,0.8927011997664172,0.43,0.27896995708154504,0.7142857142857143,0.36223192732408915,0.5023497250709464
grouped,ClassWeight,12,0.46632124352331605,0.436166369791177,0.8775152097763965,0.43,0.2297872340425532,0.627906976744186,0.14811753917244116,0.5104894182323769
grouped,ClassWeight,13,0.4730831973898858,0.3571313777590362,0.865118987660539,0.35,0.24892703862660945,0.6105263157894737,0.19129747694928143,0.43073171980005576
grouped,ClassWeight,14,0.4390681003584229,0.32987846437838275,0.8619822196170379,0.36,0.22072072072072071,0.5833333333333334,0.23946368175634955,0.37279189473596136
grouped,ClassWeight,15,0.5477031802120141,0.46461031092840976,0.8900195393971327,0.41,0.256198347107438,0.7654320987654321,0.41222707356200217,0.4927040565628355
grouped,B-SMOTE,1,0.43795620437956206,0.39629388521701536,0.8628121804187523,0.39,0.18018018018018017,0.6818181818181818,0.14783164806529647,0.4654640567011914
grouped,B-SMOTE,2,0.45045045045045046,0.3813197195289975,0.8596886068476977,0.37,0.2127659574468085,0.625,0.286874632390429,0.4017420777289996
grouped,B-SMOTE,3,0.45694200351493847,0.349071778886744,0.8560177235048444,0.37,0.21224489795918366,0.6419753086419753,0.09698331430365983,0.4030949196397407
grouped,B-SMOTE,4,0.4891304347826087,0.35583733219432123,0.8715465819009497,0.34,0.23161764705882354,0.6774193548387096,0.2635736848635043,0.4022549220436857
grouped,B-SMOTE,5,0.4381084840055633,0.4228181788187021,0.8290963836912771,0.49,0.18584070796460178,0.6631578947368421,0.4211658369681794,0.4408607206067199
grouped,B-SMOTE,6,0.47368421052631576,0.4280906653633582,0.8636715619928759,0.45,0.24324324324324326,0.6206896551724138,0.13600003096095817,0.5086460351222694
grouped,B-SMOTE,7,0.43618739903069464,0.34277001650339584,0.8829274982476458,0.3,0.17142857142857143,0.7105263157894737,0.19369295988121857,0.4196358824318329
