Split,Fold,Test n,Leaked rows,Leak rate
grouped,1,1777,0,0.0
grouped,2,1774,0,0.0
grouped,3,1828,0,0.0
grouped,4,1737,0,0.0
grouped,5,1808,0,0.0
grouped,6,1794,0,0.0
grouped,7,1803,0,0.0
grouped,8,1712,0,0.0
grouped,9,1840,0,0.0
grouped,10,1775,0,0.0
grouped,11,1747,0,0.0
grouped,12,1852,0,0.0
grouped,13,1767,0,0.0
grouped,14,1790,0,0.0
grouped,15,1768,0,0.0
random,1,1785,385,0.21568627450980393
random,2,1785,432,0.24201680672268908
random,3,1785,466,0.26106442577030814
random,4,1785,434,0.24313725490196078
random,5,1784,423,0.23710762331838564
random,6,1785,424,0.23753501400560223
random,7,1785,428,0.23977591036414567
random,8,1785,411,0.23025210084033612
random,9,1785,421,0.23585434173669467
random,10,1784,416,0.23318385650224216
random,11,1785,435,0.24369747899159663
random,12,1785,400,0.22408963585434175
random,13,1785,456,0.25546218487394956
random,14,1785,405,0.226890756302521
random,15,1784,436,0.24439461883408073
