Fold,Strategy,Noise_1,Noise_2
1,None,False,False
1,ClassWeight,False,False
1,B-SMOTE,False,False
1,SMOTE,False,False
1,ADASYN,False,False
1,RUS,False,False
2,None,False,False
2,ClassWeight,False,False
2,B-SMOTE,False,False
2,SMOTE,False,False
2,ADASYN,False,False
2,RUS,False,False
3,None,False,False
3,ClassWeight,False,False
3,B-SMOTE,False,False
3,SMOTE,False,False
3,ADASYN,False,False
3,RUS,False,False
4,None,False,False
4,ClassWeight,False,False
4,B-SMOTE,False,False
4,SMOTE,False,False
4,ADASYN,False,False
4,RUS,False,False
5,None,False,False
5,ClassWeight,False,False
5,B-SMOTE,False,False
5,SMOTE,False,False
5,ADASYN,False,False
5,RUS,False,False
6,None,False,False
6,ClassWeight,False,False
6,B-SMOTE,False,False
6,SMOTE,False,False
6,ADASYN,False,False
6,RUS,False,False
7,None,False,False
7,ClassWeight,False,False
7,B-SMOTE,False,False
7,SMOTE,False,False
7,ADASYN,False,False
7,RUS,False,False
8,None,False,False
8,ClassWeight,False,False
8,B-SMOTE,False,False
8,SMOTE,False,False
8,ADASYN,False,False
8,RUS,False,False
9,None,False,False
9,ClassWeight,False,False
9,B-SMOTE,False,False
9,SMOTE,False,False
9,ADASYN,False,False
9,RUS,False,False
10,None,False,False
10,ClassWeight,False,False
10,B-SMOTE,False,False
10,SMOTE,False,False
10,ADASYN,False,False
10,RUS,False,False
11,None,False,False
11,ClassWeight,False,False
11,B-SMOTE,False,False
11,SMOTE,False,False
11,ADASYN,False,False
11,RUS,False,False
12,None,False,False
12,ClassWeight,False,False
12,B-SMOTE,False,False
12,SMOTE,False,False
12,ADASYN,False,False
12,RUS,False,False
13,None,False,False
13,ClassWeight,False,False
13,B-SMOTE,False,False
13,SMOTE,False,False
13,ADASYN,False,False
13,RUS,False,False
14,None,False,False
14,ClassWeight,False,False
14,B-SMOTE,False,False
14,SMOTE,False,False
14,ADASYN,False,False
14,RUS,False,False
15,None,False,False
15,ClassWeight,False,False
15,B-SMOTE,False,False
15,SMOTE,False,False
15,ADASYN,False,False
15,RUS,False,False
