Strategy,Calibration,max,p99.9,p99,n_gt_0.5,n_gt_0.3,n_unique
None,raw,0.9607838988304138,0.8819963607788018,0.6503278332948705,152,296,7258
None,sigmoid,0.9621818350889602,0.9447343014228172,0.7642247648229153,155,219,7261
None,isotonic,1.0,0.875,0.6521739363670349,136,301,301
ClassWeight,raw,0.9952464699745178,0.9849013540148719,0.9440001070499421,935,1617,7356
ClassWeight,sigmoid,0.737996556667093,0.7150887126914297,0.534598646978043,151,419,7357
ClassWeight,isotonic,0.9166667461395264,0.875,0.6000000238418579,126,327,288
B-SMOTE,raw,0.9843506813049316,0.9709515714049316,0.9388569593429565,1223,2228,6846
B-SMOTE,sigmoid,0.5650783954577054,0.5310600634200371,0.4510506517910351,21,395,6848
B-SMOTE,isotonic,0.9230769872665405,0.7777777910232544,0.5384615659713745,116,294,292
SMOTE,raw,0.9857777953147888,0.9782639810442922,0.9483901023864747,1341,2416,7115
SMOTE,sigmoid,0.5689329928324158,0.5415969467698908,0.4754161617700848,40,346,7116
SMOTE,isotonic,1.0,0.8765197356343134,0.6401349568367026,132,275,319
ADASYN,raw,0.9808899164199829,0.9625407673716543,0.9160841107368469,1418,2569,7000
ADASYN,sigmoid,0.5420499199367395,0.5205805729811159,0.43575865725168705,13,351,7001
ADASYN,isotonic,0.9090909361839294,0.75,0.6080907207727464,143,278,306
RUS,raw,0.9902178645133972,0.9816070721745488,0.9588611000776291,1905,3587,7210
RUS,sigmoid,0.43722733839514777,0.4210973022762532,0.3710574139359571,0,295,7214
RUS,isotonic,1.0,1.0,0.5750487685203789,119,283,300
