Strategy,Calibration,k,observed,predicted,gap
None,raw,25,0.84,0.876295006275177,-0.03629500627517701
None,raw,100,0.68,0.7574852156639099,-0.07748521566390987
None,raw,250,0.572,0.5825041999816895,-0.0105041999816895
None,sigmoid,25,0.8,0.938780559164872,-0.13878055916487197
None,sigmoid,100,0.72,0.8673734503585416,-0.14737345035854166
None,sigmoid,250,0.576,0.6141199225948589,-0.03811992259485897
None,isotonic,25,0.8,0.8730952572822571,-0.07309525728225708
None,isotonic,100,0.65,0.7454182827472686,-0.0954182827472686
None,isotonic,250,0.544,0.5656646564006805,-0.021664656400680493
ClassWeight,raw,25,0.76,0.9825276589393616,-0.22252765893936155
ClassWeight,raw,100,0.74,0.9630359959602356,-0.2230359959602356
ClassWeight,raw,250,0.552,0.9279523842334747,-0.37595238423347466
ClassWeight,sigmoid,25,0.6,0.6907809645574561,-0.0907809645574561
ClassWeight,sigmoid,100,0.67,0.5901578627328032,0.0798421372671968
ClassWeight,sigmoid,250,0.56,0.5260755199619422,0.033924480038057814
ClassWeight,isotonic,25,0.64,0.8588092184066772,-0.21880921840667722
ClassWeight,isotonic,100,0.71,0.7158687692880631,-0.005868769288063125
ClassWeight,isotonic,250,0.548,0.5591613504886627,-0.011161350488662625
B-SMOTE,raw,25,0.68,0.9710692954063416,-0.2910692954063415
B-SMOTE,raw,100,0.63,0.9555583918094634,-0.32555839180946344
B-SMOTE,raw,250,0.512,0.9235845882892608,-0.4115845882892608
B-SMOTE,sigmoid,25,0.64,0.524658128539296,0.11534187146070396
B-SMOTE,sigmoid,100,0.62,0.48559193126651423,0.13440806873348576
B-SMOTE,sigmoid,250,0.508,0.440610923842877,0.06738907615712303
B-SMOTE,isotonic,25,0.64,0.7846699070930481,-0.14466990709304806
B-SMOTE,isotonic,100,0.69,0.6704860258102417,0.0195139741897582
B-SMOTE,isotonic,250,0.516,0.5288917645215988,-0.012891764521598792
SMOTE,raw,25,0.72,0.9776390266418457,-0.2576390266418457
SMOTE,raw,100,0.68,0.9633326864242554,-0.28333268642425535
SMOTE,raw,250,0.548,0.9229476618766784,-0.3749476618766784
SMOTE,sigmoid,25,0.68,0.5354116262457412,0.14458837375425881
SMOTE,sigmoid,100,0.72,0.5005077264638761,0.21949227353612388
SMOTE,sigmoid,250,0.532,0.44921136109120346,0.08278863890879656
SMOTE,isotonic,25,0.64,0.8388280081748962,-0.1988280081748962
SMOTE,isotonic,100,0.69,0.7248778456449508,-0.03487784564495089
SMOTE,isotonic,250,0.528,0.5540416115522384,-0.026041611552238386
ADASYN,raw,25,0.6,0.962428879737854,-0.362428879737854
ADASYN,raw,100,0.65,0.9420559126138687,-0.29205591261386865
ADASYN,raw,250,0.508,0.9067773096561432,-0.3987773096561432
ADASYN,sigmoid,25,0.72,0.50747401809515,0.21252598190484995
ADASYN,sigmoid,100,0.67,0.47034826077438213,0.1996517392256179
ADASYN,sigmoid,250,0.5,0.42381690248640846,0.07618309751359154
ADASYN,isotonic,25,0.64,0.7504929280281067,-0.11049292802810673
ADASYN,isotonic,100,0.66,0.6542407435178756,0.005759256482124386
ADASYN,isotonic,250,0.512,0.5256282312870025,-0.013628231287002524
RUS,raw,25,0.6,0.9808628559112549,-0.3808628559112549
RUS,raw,100,0.54,0.9703493291139602,-0.4303493291139602
RUS,raw,250,0.488,0.9498165004253387,-0.4618165004253387
RUS,sigmoid,25,0.76,0.4166245782033771,0.3433754217966229
RUS,sigmoid,100,0.56,0.39138884705903104,0.168611152940969
RUS,sigmoid,250,0.484,0.35969920005732464,0.12430079994267534
RUS,isotonic,25,0.6,0.9964894676208496,-0.3964894676208496
RUS,isotonic,100,0.62,0.7154232132434845,-0.09542321324348446
RUS,isotonic,250,0.48,0.5328250302076339,-0.05282503020763396
