Strategy,Calibration,F2,AvgPrecision,ROC-AUC,Brier,ECE,SpearmanVsRaw
None,raw,0.270 +/- 0.038,0.420 +/- 0.053,0.874 +/- 0.023,0.036 +/- 0.004,0.010 +/- 0.004,1.000 +/- 0.000
None,sigmoid,0.280 +/- 0.041,0.420 +/- 0.053,0.874 +/- 0.023,0.037 +/- 0.004,0.012 +/- 0.003,1.000 +/- 0.000
None,isotonic,0.271 +/- 0.068,0.397 +/- 0.049,0.871 +/- 0.024,0.036 +/- 0.004,0.010 +/- 0.003,0.982 +/- 0.012
ClassWeight,raw,0.465 +/- 0.051,0.412 +/- 0.050,0.873 +/- 0.025,0.074 +/- 0.021,0.117 +/- 0.055,1.000 +/- 0.000
ClassWeight,sigmoid,0.253 +/- 0.098,0.412 +/- 0.050,0.873 +/- 0.025,0.037 +/- 0.004,0.013 +/- 0.004,1.000 +/- 0.000
ClassWeight,isotonic,0.245 +/- 0.059,0.383 +/- 0.048,0.870 +/- 0.024,0.037 +/- 0.004,0.012 +/- 0.003,0.984 +/- 0.009
B-SMOTE,raw,0.452 +/- 0.047,0.376 +/- 0.044,0.861 +/- 0.020,0.086 +/- 0.016,0.146 +/- 0.044,1.000 +/- 0.000
B-SMOTE,sigmoid,0.087 +/- 0.101,0.376 +/- 0.044,0.861 +/- 0.020,0.039 +/- 0.004,0.013 +/- 0.003,1.000 +/- 0.000
B-SMOTE,isotonic,0.214 +/- 0.066,0.357 +/- 0.046,0.860 +/- 0.020,0.038 +/- 0.004,0.012 +/- 0.004,0.989 +/- 0.007
SMOTE,raw,0.458 +/- 0.031,0.384 +/- 0.046,0.862 +/- 0.021,0.096 +/- 0.011,0.176 +/- 0.025,1.000 +/- 0.000
SMOTE,sigmoid,0.110 +/- 0.067,0.384 +/- 0.046,0.862 +/- 0.021,0.038 +/- 0.003,0.013 +/- 0.003,1.000 +/- 0.000
SMOTE,isotonic,0.239 +/- 0.040,0.359 +/- 0.045,0.860 +/- 0.021,0.038 +/- 0.003,0.011 +/- 0.004,0.987 +/- 0.005
ADASYN,raw,0.444 +/- 0.048,0.365 +/- 0.041,0.860 +/- 0.017,0.094 +/- 0.024,0.165 +/- 0.061,1.000 +/- 0.000
ADASYN,sigmoid,0.067 +/- 0.093,0.365 +/- 0.041,0.860 +/- 0.017,0.039 +/- 0.004,0.013 +/- 0.004,1.000 +/- 0.000
ADASYN,isotonic,0.220 +/- 0.073,0.339 +/- 0.042,0.858 +/- 0.018,0.038 +/- 0.004,0.011 +/- 0.003,0.986 +/- 0.011
RUS,raw,0.431 +/- 0.031,0.358 +/- 0.036,0.862 +/- 0.019,0.143 +/- 0.008,0.267 +/- 0.016,1.000 +/- 0.000
RUS,sigmoid,0.000 +/- 0.000,0.358 +/- 0.036,0.862 +/- 0.019,0.039 +/- 0.003,0.012 +/- 0.004,1.000 +/- 0.000
RUS,isotonic,0.148 +/- 0.085,0.336 +/- 0.034,0.860 +/- 0.019,0.038 +/- 0.004,0.010 +/- 0.004,0.989 +/- 0.012
