,0
MagpieData mean NdValence,0.5305936
MagpieData mean SpaceGroupNumber,0.50663656
MagpieData mean Electronegativity,0.48505226
MagpieData range CovalentRadius,0.4799309
MagpieData mean MeltingT,0.44243345
MagpieData mean CovalentRadius,0.4107179
MagpieData range Electronegativity,0.37534383
MagpieData avg_dev Electronegativity,0.3248027
MagpieData maximum Electronegativity,0.2907095
MagpieData mean Row,0.26284903
MagpieData mean AtomicWeight,0.2467871
MagpieData mean NValence,0.23776098
MagpieData mean Number,0.22021572
MagpieData mode Electronegativity,0.21127567
MagpieData minimum MeltingT,0.19467159
MagpieData mode Number,0.16696885
MagpieData minimum GSvolume_pa,0.11041474
MagpieData range SpaceGroupNumber,0.10548393
MagpieData minimum SpaceGroupNumber,0.076349385
MagpieData maximum NpValence,0.061618302
MagpieData minimum Number,0.04982327
MagpieData minimum CovalentRadius,0.023183975
MagpieData mode MeltingT,0.021299105
MagpieData mode CovalentRadius,0.010198224
MagpieData mode NdValence,0.0064925663
MagpieData minimum NdValence,0.0014179486
MagpieData mode AtomicWeight,0.001262818
MagpieData mode Row,0.0
MagpieData minimum AtomicWeight,0.0
MagpieData minimum Row,0.0
