strategy,k,precision@k,enrichment,recall@k
None,25,0.84,17.15,0.048
None,50,0.76,15.52,0.087
None,100,0.68,13.89,0.156
None,250,0.572,11.68,0.327
None,500,0.412,8.41,0.471
None,1000,0.282,5.76,0.645
ClassWeight,25,0.76,15.52,0.043
ClassWeight,50,0.74,15.11,0.085
ClassWeight,100,0.74,15.11,0.169
ClassWeight,250,0.552,11.27,0.316
ClassWeight,500,0.41,8.37,0.469
ClassWeight,1000,0.257,5.25,0.588
B-SMOTE,25,0.68,13.89,0.039
B-SMOTE,50,0.7,14.29,0.08
B-SMOTE,100,0.63,12.87,0.144
B-SMOTE,250,0.512,10.46,0.293
B-SMOTE,500,0.374,7.64,0.428
B-SMOTE,1000,0.253,5.17,0.579
SMOTE,25,0.72,14.7,0.041
SMOTE,50,0.72,14.7,0.082
SMOTE,100,0.68,13.89,0.156
SMOTE,250,0.548,11.19,0.314
SMOTE,500,0.368,7.51,0.421
SMOTE,1000,0.258,5.27,0.59
ADASYN,25,0.6,12.25,0.034
ADASYN,50,0.7,14.29,0.08
ADASYN,100,0.65,13.27,0.149
ADASYN,250,0.508,10.37,0.291
ADASYN,500,0.346,7.07,0.396
ADASYN,1000,0.236,4.82,0.54
RUS,25,0.6,12.25,0.034
RUS,50,0.66,13.48,0.076
RUS,100,0.54,11.03,0.124
RUS,250,0.488,9.97,0.279
RUS,500,0.382,7.8,0.437
RUS,1000,0.251,5.13,0.574
