A,B,b,c,b+c,stat,p_raw,winner,p_holm,significant
None,RUS,225,1528,1753,967.03,2.6352685818784425e-212,None,3.9529028728176636e-211,True
None,ADASYN,185,1081,1266,632.721,1.2793637192797458e-139,None,1.791109206991644e-138,True
ClassWeight,RUS,133,955,1088,619.523,9.495280051478018e-137,ClassWeight,1.2343864066921423e-135,True
None,SMOTE,182,1007,1189,571.048,3.3217126062039534e-126,None,3.986055127444744e-125,True
None,B-SMOTE,177,894,1071,478.67,4.159701455056083e-106,None,4.575671600561691e-105,True
B-SMOTE,RUS,152,738,890,384.522,1.289327220544066e-85,B-SMOTE,1.289327220544066e-84,True
None,ClassWeight,154,635,789,292.015,1.8091127662394585e-65,None,1.6282014896155125e-64,True
SMOTE,RUS,209,687,896,253.939,3.5959373864840396e-57,SMOTE,2.8767499091872317e-56,True
ClassWeight,ADASYN,155,570,725,236.408,2.387183821013664e-53,ClassWeight,1.6710286747095647e-52,True
ClassWeight,SMOTE,149,493,642,183.254,9.440555487249002e-42,ClassWeight,5.664333292349401e-41,True
ADASYN,RUS,254,661,915,180.149,4.4974628416317116e-41,ADASYN,2.248731420815856e-40,True
ClassWeight,B-SMOTE,182,418,600,92.042,8.4870581464829e-22,ClassWeight,3.39482325859316e-21,True
B-SMOTE,ADASYN,145,324,469,67.557,2.0473483371631913e-16,B-SMOTE,6.1420450114895735e-16,True
B-SMOTE,SMOTE,175,283,458,24.998,5.739527349480945e-07,B-SMOTE,1.147905469896189e-06,True
SMOTE,ADASYN,179,250,429,11.422,0.0007258298400623648,SMOTE,0.0007258298400623648,True
