A,B,AvgPrecision A,AvgPrecision B,Mean diff (A-B),Cohen's d,Wilcoxon p,Corrected resampled t p,Winner,Wilcoxon p (Holm),Significant
None,ADASYN,0.4199249854861601,0.3646379645682835,0.05528702091787655,1.2100247497905425,6.103515625e-05,0.00028781058386151415,None,0.00091552734375,True
ClassWeight,ADASYN,0.4122519825265554,0.3646379645682835,0.047614017958271894,1.0837598473687542,6.103515625e-05,0.001271620014496655,ClassWeight,0.00091552734375,True
ClassWeight,SMOTE,0.4122519825265554,0.383962953835182,0.028289028691373373,0.6131677892118365,6.103515625e-05,0.022822785457549788,ClassWeight,0.00091552734375,True
None,RUS,0.4199249854861601,0.35773737852551313,0.06218760696064708,1.4163283068829506,6.103515625e-05,0.0023692517060907026,None,0.00091552734375,True
SMOTE,ADASYN,0.383962953835182,0.3646379645682835,0.01932498926689852,0.46274690334573704,6.103515625e-05,0.016291802505452813,SMOTE,0.00091552734375,True
ClassWeight,RUS,0.4122519825265554,0.35773737852551313,0.05451460400104243,1.2956061787680195,6.103515625e-05,0.005228989638284887,ClassWeight,0.00091552734375,True
None,B-SMOTE,0.4199249854861601,0.37631913659265437,0.04360584889350573,0.9269571919126182,0.0001220703125,0.001449274966136782,None,0.0010986328125,True
ClassWeight,B-SMOTE,0.4122519825265554,0.37631913659265437,0.035932845933901066,0.792561871049341,0.0001220703125,0.011648448920312804,ClassWeight,0.0010986328125,True
None,SMOTE,0.4199249854861601,0.383962953835182,0.03596203165097803,0.752158812647328,0.00030517578125,0.018267515239496657,None,0.00213623046875,True
SMOTE,RUS,0.383962953835182,0.35773737852551313,0.026225575309669055,0.6588907085982149,0.0006103515625,0.06770193683885095,SMOTE,0.003662109375,True
B-SMOTE,ADASYN,0.37631913659265437,0.3646379645682835,0.011681172024370827,0.28575796558330874,0.00152587890625,0.0737681448379488,B-SMOTE,0.00762939453125,True
B-SMOTE,RUS,0.37631913659265437,0.35773737852551313,0.01858175806714136,0.4779934258214967,0.00836181640625,0.16909618304155982,B-SMOTE,0.033447265625,True
B-SMOTE,SMOTE,0.37631913659265437,0.383962953835182,-0.007643817242527695,-0.1767947764495848,0.0946044921875,0.3533167682955689,SMOTE,0.2838134765625,False
None,ClassWeight,0.4199249854861601,0.4122519825265554,0.007673002959604658,0.15432206568566478,0.207763671875,0.6097554589316965,None,0.41552734375,False
ADASYN,RUS,0.3646379645682835,0.35773737852551313,0.006900586042770533,0.1853593345650743,0.30279541015625,0.5942416621358042,ADASYN,0.41552734375,False
