A,B,ECE A,ECE B,Mean diff (A-B),Cohen's d,Wilcoxon p,Corrected resampled t p,Winner,Wilcoxon p (Holm),Significant
None,ClassWeight,0.010419718910693916,0.11714718215342639,-0.10672746324273244,-2.821559168018567,6.103515625e-05,0.004376164311352904,None,0.00091552734375,True
None,B-SMOTE,0.010419718910693916,0.14597667730704705,-0.13555695839635318,-4.519180233595418,6.103515625e-05,0.00010044389704999546,None,0.00091552734375,True
None,SMOTE,0.010419718910693916,0.175780923634931,-0.16536120472423713,-9.72604645766364,6.103515625e-05,1.450838249539288e-08,None,0.00091552734375,True
None,ADASYN,0.010419718910693916,0.1647469385279533,-0.15432721961725943,-3.6944652234579376,6.103515625e-05,0.0005198087167332943,None,0.00091552734375,True
None,RUS,0.010419718910693916,0.2668665136978567,-0.2564467947871628,-22.591914761066732,6.103515625e-05,4.463096558993129e-14,None,0.00091552734375,True
ADASYN,RUS,0.1647469385279533,0.2668665136978567,-0.10211957516990336,-2.36806391976328,6.103515625e-05,0.0071363133190753825,ADASYN,0.00091552734375,True
B-SMOTE,RUS,0.14597667730704705,0.2668665136978567,-0.12088983639080962,-3.7955305850253773,6.103515625e-05,9.042830568728455e-05,B-SMOTE,0.00091552734375,True
ClassWeight,RUS,0.11714718215342639,0.2668665136978567,-0.14971933154443032,-3.8084219008277205,6.103515625e-05,0.0005551215162695744,ClassWeight,0.00091552734375,True
SMOTE,RUS,0.175780923634931,0.2668665136978567,-0.09108559006292566,-4.532976366079162,6.103515625e-05,2.2645242285790346e-06,SMOTE,0.00091552734375,True
ClassWeight,SMOTE,0.11714718215342639,0.175780923634931,-0.058633741481504666,-1.4196985116985967,0.00201416015625,0.07848692586438766,ClassWeight,0.0120849609375,True
B-SMOTE,SMOTE,0.14597667730704705,0.175780923634931,-0.02980424632788396,-0.8696004669686197,0.00537109375,0.1706683531589761,B-SMOTE,0.02685546875,True
ClassWeight,ADASYN,0.11714718215342639,0.1647469385279533,-0.04759975637452696,-0.8465497236586327,0.01507568359375,0.1984942218973751,ClassWeight,0.060302734375,False
B-SMOTE,ADASYN,0.14597667730704705,0.1647469385279533,-0.01877026122090626,-0.3659710534981652,0.063720703125,0.46746883395795136,B-SMOTE,0.191162109375,False
ClassWeight,B-SMOTE,0.11714718215342639,0.14597667730704705,-0.028829495153620707,-0.5990057840141184,0.1876220703125,0.4195429663625856,ClassWeight,0.375244140625,False
SMOTE,ADASYN,0.175780923634931,0.1647469385279533,0.011033985106977695,0.24551127621144594,0.7197265625,0.7524597136233693,ADASYN,0.7197265625,False
