A,B,mean_F2_A,mean_F2_B,Cohen_d,t_corrected,p_corrected_t,p_raw,winner,p_holm,significant
None,ClassWeight,0.2701,0.4655,-4.503,-7.535,0.0,6.103515625e-05,ClassWeight,0.00091552734375,True
None,B-SMOTE,0.2701,0.4524,-4.379,-7.415,0.0,6.103515625e-05,B-SMOTE,0.00091552734375,True
None,SMOTE,0.2701,0.4583,-5.558,-7.584,0.0,6.103515625e-05,SMOTE,0.00091552734375,True
None,ADASYN,0.2701,0.4436,-4.14,-6.071,3e-05,6.103515625e-05,ADASYN,0.00091552734375,True
None,RUS,0.2701,0.4308,-4.764,-7.028,1e-05,6.103515625e-05,RUS,0.00091552734375,True
SMOTE,RUS,0.4583,0.4308,0.913,1.529,0.14864,0.00537109375,SMOTE,0.0537109375,False
ClassWeight,RUS,0.4655,0.4308,0.856,1.269,0.22527,0.01507568359375,ClassWeight,0.13568115234375,False
ClassWeight,ADASYN,0.4655,0.4436,0.46,0.685,0.50463,0.083251953125,ClassWeight,0.666015625,False
SMOTE,ADASYN,0.4583,0.4436,0.377,0.723,0.48131,0.1353759765625,SMOTE,0.9476318359375,False
B-SMOTE,RUS,0.4524,0.4308,0.559,0.827,0.42224,0.15142822265625,B-SMOTE,0.9476318359375,False
ADASYN,RUS,0.4436,0.4308,0.329,0.555,0.58769,0.1876220703125,ADASYN,0.9476318359375,False
ClassWeight,B-SMOTE,0.4655,0.4524,0.276,0.535,0.6011,0.25238037109375,ClassWeight,1.0,False
ClassWeight,SMOTE,0.4655,0.4583,0.176,0.283,0.78111,0.30279541015625,ClassWeight,1.0,False
B-SMOTE,ADASYN,0.4524,0.4436,0.192,0.413,0.68621,0.33026123046875,B-SMOTE,1.0,False
B-SMOTE,SMOTE,0.4524,0.4583,-0.153,-0.236,0.81666,0.7197265625,SMOTE,1.0,False
