composition,m_p_min,m_p_max,n_entries
Ag3SI,0.73,1.3,2
AgI,0.488,2.15,5
AlN,0.978,2.53,2
BC2N,0.551,2.1,2
BN,0.861,11.8,6
Ba2BiSbO6,0.9129999999999999,1.4,2
BaYI5,0.97,27.2,3
C,0.591,4.74,3
C3N4,0.7609999999999999,13.0,3
Cd2SnO4,0.616,7.86,2
CsSn,0.993,3.62,2
CuBr,0.47700000000000004,2.19,4
CuCl,0.998,3.19,2
Dy2S3,0.875,1.09,2
FeP4,0.929,2.67,2
Hg2SeO3,0.748,7.57,2
K2FeH4(SO5)2,0.541,1.55,2
Li2Co(CO3)2,0.8490000000000001,11.5,2
Li2CrSiO4,0.299,72.6,2
Li2Cu3F8,0.13699999999999998,4.5,2
Li2Fe(CO3)2,0.25,5.35,2
Li2MgBr4,0.627,2.12,2
Li2Mn2F7,0.4920000000000001,22.4,3
Li3BiS3,0.9179999999999999,11.3,4
Li3Co3OF7,0.444,153.0,3
Li3Ti(PO4)2,0.386,1.28,2
Li3VO3F2,0.324,24.0,2
Li5SbS,0.607,1.68,3
Li5SbS4,0.41,203.0,4
LiCoPO4,0.158,524.0,16
LiCoSiO4,0.0917,17.6,3
LiFePO4,0.106,92.0,2
LiNiP2O7,0.281,17.9,2
LiNiPO4,0.174,219.0,11
LiP5,0.636,1.6,2
LiTbSe2,0.7240000000000001,1.25,2
LiTiP2O7,0.151,3.63,2
LiV2F7,0.23,573.0,2
LiVF4,0.215,67.8,5
MgH2,0.841,12.3,4
Mn6OF11,0.35100000000000003,268.0,4
MoCl3,0.134,42.4,2
NbAgO3,0.9209999999999999,9.32,2
RbGeI3,0.183,1.87,2
Si3N4,0.7759999999999999,1.27,2
Sm2S3,0.8540000000000001,1.17,2
SmTlO2,0.914,1.0,2
SnPSe3,0.746,1.4,2
SnS,0.325,304.0,2
Sr2CdWO6,0.73,123.0,3
Tb2Se3,0.977,1.25,2
Tl2S,0.6990000000000001,1.13,2
TlInS2,0.561,1.35,2
TlS,0.847,1.15,2
VO2F,0.239,519.0,5
ZnO,0.907,2.22,2
ZnP2,0.5539999999999999,3.63,2
ZrSeO,0.635,1.06,2
