Cutoff,Positives,Strategy,F2,AvgPrec,F2_mean,AP_mean
0.5,153,None,0.116 +/- 0.051,0.169 +/- 0.045,0.11608920706270465,0.1688227955060484
0.5,153,ClassWeight,0.297 +/- 0.090,0.173 +/- 0.057,0.29696095442225473,0.173095870191982
0.5,153,B-SMOTE,0.247 +/- 0.061,0.164 +/- 0.062,0.24655065927384592,0.1641517961332423
0.5,153,SMOTE,0.280 +/- 0.085,0.164 +/- 0.057,0.2796694822138159,0.16432425189762015
0.5,153,ADASYN,0.258 +/- 0.088,0.182 +/- 0.069,0.25847868730897644,0.1816723039877569
0.5,153,RUS,0.230 +/- 0.026,0.153 +/- 0.051,0.23034413082412808,0.15329059147959473
0.8,318,None,0.287 +/- 0.059,0.371 +/- 0.048,0.2868945748950733,0.3710405948436934
0.8,318,ClassWeight,0.424 +/- 0.066,0.367 +/- 0.045,0.4237927794765869,0.36658269221231526
0.8,318,B-SMOTE,0.395 +/- 0.052,0.325 +/- 0.035,0.39459741203249854,0.324524718068817
0.8,318,SMOTE,0.411 +/- 0.079,0.355 +/- 0.031,0.41073951843461753,0.3552601723129146
0.8,318,ADASYN,0.414 +/- 0.055,0.340 +/- 0.027,0.4142860555867064,0.34004226197694065
0.8,318,RUS,0.365 +/- 0.044,0.289 +/- 0.061,0.365044263726334,0.2887878973216689
1.0,437,None,0.321 +/- 0.041,0.412 +/- 0.027,0.32107438455226567,0.41187288979282866
1.0,437,ClassWeight,0.487 +/- 0.030,0.409 +/- 0.036,0.4873825590835733,0.40949019319672003
1.0,437,B-SMOTE,0.471 +/- 0.034,0.378 +/- 0.022,0.47088071139861354,0.37766799117500904
1.0,437,SMOTE,0.454 +/- 0.024,0.378 +/- 0.019,0.45389133136339527,0.37751885520635436
1.0,437,ADASYN,0.452 +/- 0.039,0.366 +/- 0.034,0.4518510156367871,0.36614101624584094
1.0,437,RUS,0.432 +/- 0.005,0.366 +/- 0.026,0.43210321835676135,0.36556870946764863
1.2,557,None,0.337 +/- 0.024,0.472 +/- 0.045,0.3373960846278658,0.47182655452000866
1.2,557,ClassWeight,0.529 +/- 0.051,0.459 +/- 0.086,0.5292022860993016,0.45915645428088403
1.2,557,B-SMOTE,0.523 +/- 0.041,0.437 +/- 0.081,0.5231966837579258,0.4365360367850405
1.2,557,SMOTE,0.505 +/- 0.052,0.425 +/- 0.079,0.5046837807540191,0.42504648998627453
1.2,557,ADASYN,0.511 +/- 0.034,0.429 +/- 0.081,0.5106434638780022,0.4285579382756536
1.2,557,RUS,0.516 +/- 0.024,0.397 +/- 0.067,0.515560566969941,0.39733074203878493
1.5,761,None,0.397 +/- 0.038,0.537 +/- 0.009,0.39717042849587614,0.5367575620865569
1.5,761,ClassWeight,0.565 +/- 0.022,0.531 +/- 0.020,0.564795172312636,0.5307606990863784
1.5,761,B-SMOTE,0.550 +/- 0.024,0.475 +/- 0.036,0.5500989811995367,0.47481227333181036
1.5,761,SMOTE,0.549 +/- 0.036,0.498 +/- 0.032,0.5492097929241926,0.4984766153521387
1.5,761,ADASYN,0.543 +/- 0.024,0.500 +/- 0.018,0.5427179480395824,0.4996074188564904
1.5,761,RUS,0.553 +/- 0.026,0.490 +/- 0.040,0.5526377553573651,0.4901043109177724
